Angle Name,Trial ID,Time,Value,Euler,angerror
R_Forearm[2] move onset,11,60.99333333333333,-12.305121270392416,-71.30891192696242,30.985872129544816
R_Forearm[2] move onset,12,66.87333333333333,2.099173215685734,-67.82359136265555,33.308213533872035
R_Forearm[2] move onset,13,73.32,-4.319417373028068,-65.87849493279434,-18.287528826692714
R_Forearm[2] move onset,14,79.23333333333333,-2.9114162869546303,-68.61229794135873,-8.914529958466517
R_Forearm[2] move onset,15,84.28,-3.2246686332706007,-79.31267973958418,7.404796074617366
R_Forearm[2] move onset,16,89.53333333333333,22.236756384317783,-77.07851456261709,8.637703185337116
R_Forearm[2] move onset,17,97.68,32.32890293021676,-96.80728153125143,-4.974377156925975
R_Forearm[2] move onset,18,103.16,26.96339431749935,-85.93442452652855,6.933393387944193
R_Forearm[2] move onset,19,108.67333333333332,2.0955266388992806,-79.06520599579311,0.3632493215818186
R_Forearm[2] move onset,20,114.74,-8.25479759268094,-84.45747574870857,4.483838932419275
R_Forearm[2] move onset,21,120.22,1.7097617616310352,-90.642551863628,1.241714246546465
R_Forearm[2] move onset,22,124.78666666666666,-8.643114575829904,-83.38613889328992,1.972395603824161
R_Forearm[2] move onset,23,129.63333333333333,0.2882616717731342,-89.6419698779372,2.759208535363854
R_Forearm[2] move onset,24,134.98,-12.414384648903509,-89.5458241602192,1.0355622918885885
R_Forearm[2] move onset,25,140.18,7.659265976396891,-85.2258190260795,4.23375378791566
R_Forearm[2] move onset,26,144.59333333333333,-18.4897206611392,-76.60975255055408,1.5756437508413017
R_Forearm[2] move onset,27,149.94666666666666,8.357433354964911,-76.26858696076266,-2.857597917281687
R_Forearm[2] move onset,28,155.72666666666666,-10.376270512077388,-79.57855130936821,2.114101692109273
R_Forearm[2] move onset,29,160.14,-3.804978017403085,-81.99917263031965,1.372013329530077
R_Forearm[2] move onset,30,164.48666666666668,9.648478562469665,-80.5630995958967,-5.070067980709382
R_Forearm[2] move onset,31,168.86666666666667,-53.95336639765385,-90.44020813473443,1.8731412947642097
R_Forearm[2] move onset,32,173.48666666666668,2.275092110248943,-97.65779827541937,2.89070476507348
R_Forearm[2] move onset,33,177.86666666666667,18.033013941582343,-99.7720668056699,-5.912628986742924
