Angle Name,Trial ID,Time,Value,Euler,angerror
R_Forearm[2] max vel,11,61.53333333333333,33.15612957086348,-72.20059654220184,30.985872129544816
R_Forearm[2] max vel,12,67.03333333333333,-19.422073774981765,-67.5402231038808,33.308213533872035
R_Forearm[2] max vel,13,73.33333333333333,35.78796468346932,-65.59501333400006,-18.287528826692714
R_Forearm[2] max vel,14,79.72,-32.58281939816861,-68.77610810530761,-8.914529958466517
R_Forearm[2] max vel,15,84.33333333333333,-20.98199226480427,-79.68954185352197,7.404796074617366
R_Forearm[2] max vel,16,89.58666666666667,72.836997974007,-75.78760664556671,8.637703185337116
R_Forearm[2] max vel,17,98.02666666666669,140.93814658529016,-79.10599962305137,-4.974377156925975
R_Forearm[2] max vel,18,103.13333333333334,175.10038138243473,-88.40472273983161,6.933393387944193
R_Forearm[2] max vel,19,108.55333333333331,34.17887783073382,-79.07809919524526,0.3632493215818186
R_Forearm[2] max vel,20,114.92666666666666,15.085900639993955,-84.11772042486724,4.483838932419275
R_Forearm[2] max vel,21,120.12666666666668,11.40007104812391,-90.82088059718424,1.241714246546465
R_Forearm[2] max vel,22,125.00666666666666,27.29615622554187,-83.09097207309932,1.972395603824161
R_Forearm[2] max vel,23,129.80666666666667,-27.77351024082494,-90.9169852414644,2.759208535363854
R_Forearm[2] max vel,24,135.40666666666667,18.740823773274258,-88.42523367708361,1.0355622918885885
R_Forearm[2] max vel,25,140.10666666666663,33.820680238027535,-86.37195310427282,4.23375378791566
R_Forearm[2] max vel,26,144.5,-43.32522092401568,-74.64578400977088,1.5756437508413017
R_Forearm[2] max vel,27,150.29333333333332,27.01829551757021,-75.88880847424694,-2.857597917281687
R_Forearm[2] max vel,28,156.04666666666665,28.350684544651248,-81.05191150538398,2.114101692109273
R_Forearm[2] max vel,29,160.38666666666666,33.64117295025661,-81.33492526769939,1.372013329530077
R_Forearm[2] max vel,30,164.78666666666666,55.5209602004882,-80.43896982578569,-5.070067980709382
R_Forearm[2] max vel,31,168.75333333333333,-90.99220185273474,-84.3985885461992,1.8731412947642097
R_Forearm[2] max vel,32,173.82666666666665,64.1623060677345,-87.56256906820387,2.89070476507348
R_Forearm[2] max vel,33,178.10666666666663,109.61731495579734,-87.02982179088137,-5.912628986742924
R_Forearm[2] max vel,34,182.96,-53.46019202331482,-83.17957744320923,5.309593649393946
R_Forearm[2] max vel,35,188.3,-57.14403036575755,-85.95492110355356,4.55916978273855
R_Forearm[2] max vel,36,193.42,-54.21189645357814,-80.53469034840137,0.091572678594872
R_Forearm[2] max vel,37,197.62,-114.61026475178616,-76.97589753151759,1.9991408907537576
R_Forearm[2] max vel,38,202.54,-99.40313586374376,-77.42770377513106,5.102334561508044
R_Forearm[2] max vel,39,207.16,-66.30188123599038,-80.41683025100528,-2.7154327055828062
R_Forearm[2] max vel,40,211.86666666666667,-49.40799102543483,-85.393830600298,2.826438097075574
R_Forearm[2] max vel,41,217.06666666666663,-35.5094664917383,-78.4608104247128,1.0966287535507817
R_Forearm[2] max vel,42,222.06666666666663,43.68403504734691,-80.76407943795712,3.05106324732764
R_Forearm[2] max vel,43,226.9933333333333,-21.901307633191568,-80.43998219270865,3.5836399584438965
R_Forearm[2] max vel,44,231.45333333333332,37.334415616369135,-82.97242916050081,3.5346802792274445
R_Forearm[2] max vel,45,236.0133333333333,-41.81438327915776,-80.4404804086456,3.717423672393117
R_Forearm[2] max vel,46,240.76666666666668,-76.31485106424823,-78.89610604468456,4.210478845184056
R_Forearm[2] max vel,47,245.2333333333333,-62.05602338085615,-77.91640949254737,0.3976129999695246
R_Forearm[2] max vel,48,249.81333333333333,90.73737969290475,-87.73870365994527,5.656515955858069
R_Forearm[2] max vel,49,254.57333333333327,145.20483597496877,-85.96963763361164,10.11045279976588
R_Forearm[2] max vel,50,259.92,34.85627546426815,-89.39528710346232,-9.56301019494375
R_Forearm[2] max vel,51,263.96,46.24063993473478,-81.350164297773,1.2323506611562038
R_Forearm[2] max vel,52,303.74666666666667,-291.47293420891504,-53.28199829912707,32.02261629509654
R_Forearm[2] max vel,53,309.08,-18.272115402452098,-36.919176693825705,-4.546928656204578
R_Forearm[2] max vel,54,313.26666666666665,82.59040280832389,-80.7296193952223,-1.7506340482128593
R_Forearm[2] max vel,55,318.0933333333333,-52.58045038195733,-79.22679349474203,-4.650084380332615
R_Forearm[2] max vel,56,322.49333333333334,73.8845955246632,-75.78231487821299,-0.4110812671253612
R_Forearm[2] max vel,57,326.88,111.06916300810764,-83.98910361002129,0.713259574550051
R_Forearm[2] max vel,58,334.68666666666667,26.195426251779995,-83.27421574298893,-8.097059203791666
R_Forearm[2] max vel,59,339.81333333333333,-174.65728549359096,-94.4627723354966,-6.913319978957844
R_Forearm[2] max vel,60,344.72,75.26977737551637,-95.8911883119709,0.7939346009405455
R_Forearm[2] max vel,61,349.9533333333333,73.84573491725509,-76.68404254936979,5.75714636398699
