Angle Name,Trial ID,Time,Value,Euler,angerror
R_Arm[2] max vel,11,102.07333333333334,-71.83764427731775,-45.863647701218255,37.48423283045227
R_Arm[2] max vel,12,109.18666666666668,-10.788650346109776,-38.62718571389848,28.99491399474583
R_Arm[2] max vel,13,123.3,-16.970931436726662,-35.912844769112986,26.50627843636497
R_Arm[2] max vel,14,137.22,-11.950795427979584,-37.67361104503868,34.34002072596444
R_Arm[2] max vel,15,146.59333333333333,-1.5204820428267822,-37.87728355948661,9.62067616607466
R_Arm[2] max vel,16,153.33333333333334,-45.57811304007467,-44.49902351821751,27.0503451532919
R_Arm[2] max vel,17,159.60666666666663,2.415345984244223,-37.22234698407194,10.273905824480664
R_Arm[2] max vel,18,168.07333333333332,-12.000315139876436,-37.5477868426368,16.32589207690289
R_Arm[2] max vel,19,175.65333333333334,-8.804949636290551,-47.21336226350928,-5.733392759240793
R_Arm[2] max vel,20,181.76666666666668,-24.66227774305568,-50.38617941813708,14.24596140432709
R_Arm[2] max vel,21,188.76666666666668,24.91899926134982,-48.766244948949016,4.018091837019881
R_Arm[2] max vel,22,194.46666666666667,7.466287061415601,-49.30935456493053,1.789830371184742
R_Arm[2] max vel,23,200.3733333333333,11.559933061220514,-47.64212594255643,0.7474298200505558
R_Arm[2] max vel,24,205.56666666666663,-29.755633022107045,-44.834641357350726,4.916405993809079
R_Arm[2] max vel,25,212.56,-71.63349065845242,-45.79151098645448,0.0986121207086867
R_Arm[2] max vel,26,219.8733333333333,-9.21155983232152,-39.9826401559304,8.948002052127592
R_Arm[2] max vel,27,228.31333333333333,-50.74353006797836,-47.917964971722725,6.114922763029966
R_Arm[2] max vel,28,235.42666666666668,-68.94922293455556,-47.4788375479296,2.592424562181592
R_Arm[2] max vel,29,242.14666666666668,19.922420189882654,-39.92552436664765,4.358994175694718
R_Arm[2] max vel,30,251.64666666666668,-7.0653782525186335,-39.47668523913276,5.488499386432991
R_Arm[2] max vel,31,260.87333333333333,-44.75870645796192,-46.29085471136092,4.121680416745761
R_Arm[2] max vel,32,268.2266666666667,-65.33554369364825,-48.692815105727234,15.93218861267104
R_Arm[2] max vel,33,275.48,32.414337591177826,-46.71255619497347,7.555070735439159
R_Arm[2] max vel,34,281.58666666666664,-39.16058763861313,-48.91239945052044,11.830922955581585
R_Arm[2] max vel,35,287.46666666666664,-14.631697289856424,-37.36894647172213,0.3101182345333271
R_Arm[2] max vel,36,298.44,-49.46984592086808,-48.036626270701376,-0.1298415478970724
R_Arm[2] max vel,37,305.31333333333333,5.967723253244889,-38.5118878754274,11.878139752098647
R_Arm[2] max vel,38,315.3933333333333,34.78409345609302,-47.35741425881337,9.89737421409282
R_Arm[2] max vel,39,321.68666666666667,33.843908988197924,-47.2684625925082,5.717795735804771
R_Arm[2] max vel,40,326.9533333333333,-51.50117424419046,-51.138726771655946,0.0084214998441396
R_Arm[2] max vel,41,333.52666666666664,41.80192758265909,-46.28532893361868,10.758121721975629
R_Arm[2] max vel,42,339.1333333333333,-32.8715375428942,-51.76356977633534,10.493257583988225
R_Arm[2] max vel,43,346.18666666666667,24.02427239014605,-49.99750829894981,6.423581278151474
R_Arm[2] max vel,44,351.6666666666667,-55.627831811372346,-48.40711594570051,2.605968062582484
R_Arm[2] max vel,45,359.05333333333334,34.57769996251983,-45.73504326162121,6.364268074014561
R_Arm[2] max vel,46,364.79333333333335,-7.944169332372355,-39.34709504644471,10.571978124685444
R_Arm[2] max vel,47,372.1666666666667,7.661444357688696,-39.89927629789273,1.6695419144599413
R_Arm[2] max vel,48,382.4,33.04034397583813,-46.21558701926055,11.930834701274035
R_Arm[2] max vel,49,388.2133333333333,-6.100484429925444,-39.259433117522384,0.986292239097594
R_Arm[2] max vel,50,396.0866666666666,-68.19199074659916,-49.01021641507112,5.785817953199356
R_Arm[2] max vel,51,402.88666666666666,-65.87254034990696,-45.36349283954858,7.3640565398200835
R_Arm[2] max vel,52,409.7466666666666,38.59193332680705,-46.91235402379199,3.57747534364858
R_Arm[2] max vel,53,415.86,-35.63234156336004,-51.81135276485124,6.297354049033771
R_Arm[2] max vel,54,423.3066666666667,22.53668344340193,-46.31193252799998,5.195145558808946
R_Arm[2] max vel,55,428.7733333333333,-28.77290816377498,-54.0293387604872,3.631166478815935
R_Arm[2] max vel,56,436.0466666666667,-11.479850635762984,-37.65656592055452,3.807296331747153
R_Arm[2] max vel,57,443.9,10.683209909512003,-39.13544563447413,5.136303428248127
R_Arm[2] max vel,58,454.3666666666667,-34.055234121954555,-43.99690206314625,3.9966541554885566
R_Arm[2] max vel,59,460.86,-44.76366021457009,-48.62292507075399,-0.2089151012888237
R_Arm[2] max vel,60,467.74,4.135237263670738,-37.83511110967402,-1.6500117817998046
R_Arm[2] max vel,61,480.08,-60.42825512853936,-45.29247022785205,18.39037764155357
R_Arm[2] max vel,62,487.2733333333333,37.27995469337502,-46.90725758290402,4.505338438038422
R_Arm[2] max vel,63,493.1133333333333,32.81855537087583,-46.56547078011418,-5.601240867199337
R_Arm[2] max vel,64,499.41333333333336,11.923197597444547,-40.716313382809766,4.378004055393021
R_Arm[2] max vel,65,509.56666666666666,24.270446214710788,-50.0301365684307,3.3886679125408534
R_Arm[2] max vel,66,515.0866666666667,-10.36306504389844,-50.56700055150608,-0.4089900276375218
