Angle Name,Trial ID,Time,Value,Euler,angerror
R_Forearm[0] max vel,11,82.76666666666667,106.71509066381826,-57.53013136669314,30.445006814838152
R_Forearm[0] max vel,12,89.4,113.09635456872628,-57.38225691238706,14.34551695590966
R_Forearm[0] max vel,13,94.43333333333334,99.60787802162235,-56.89661403169678,10.133786776945826
R_Forearm[0] max vel,14,100.26666666666668,136.7079498043572,-49.29860857247196,1.3981926715578226
R_Forearm[0] max vel,15,106.14666666666666,130.1605855998565,-58.34529016210831,-0.9637565320735176
R_Forearm[0] max vel,16,111.97333333333331,155.02880249792187,-53.68206927135778,1.3643516869853016
R_Forearm[0] max vel,17,117.69333333333331,107.1279554598866,-56.997819049703054,2.663335144185993
R_Forearm[0] max vel,18,123.94,108.47704552112384,-56.50838312035822,-0.4377772665436552
R_Forearm[0] max vel,19,129.71333333333334,113.98327981974424,-54.25102106984801,1.5919086916798832
R_Forearm[0] max vel,20,136.44,100.1766477075998,-55.81328885575096,-0.0245655863379425
R_Forearm[0] max vel,21,146.36,81.51158112186775,-56.08549212266256,1.7517197468092434
R_Forearm[0] max vel,22,155.33333333333334,134.44022155237963,-52.43100344209017,1.9649327471993128
R_Forearm[0] max vel,23,163.1,113.65410117269252,-50.777088815697,1.9534916520349408
R_Forearm[0] max vel,24,182.7733333333333,84.27891812439965,-56.69161673695344,1.3895403340347912
R_Forearm[0] max vel,25,198.3,106.16638332020707,-53.126618458863206,-2.5464823651382678
R_Forearm[0] max vel,26,206.1,118.6486427278032,-53.3546470500907,-3.0238675557966417
R_Forearm[0] max vel,27,215.26,114.72749052200642,-46.66162063148833,-4.867212411961852
R_Forearm[0] max vel,28,221.38666666666663,138.2734306537047,-49.93719414896374,-4.472213880036442
R_Forearm[0] max vel,29,227.07333333333327,121.89411304387583,-53.36185940663476,-4.851309434293789
R_Forearm[0] max vel,30,233.66666666666663,173.77878704439493,-60.02750343563528,-3.257421534960457
R_Forearm[0] max vel,31,242.33333333333331,106.573683221343,-54.13564746727477,1.142430384070849
R_Forearm[0] max vel,32,246.92666666666668,134.60791085224727,-62.37806390060101,2.547799016494956
R_Forearm[0] max vel,33,253.11333333333332,128.62147027959196,-61.90265818034676,0.0147742653871247
R_Forearm[0] max vel,34,260.98,121.5770530754473,-50.65688006256983,-2.3504002431442714
R_Forearm[0] max vel,35,267.8466666666667,132.05773270062,-52.372979250450776,-2.4791644320956507
R_Forearm[0] max vel,36,273.9533333333333,107.639403429156,-50.11029489450051,1.988864127018111
R_Forearm[0] max vel,37,280.93333333333334,145.24849567113384,-53.09324177928106,-5.499129392646282
R_Forearm[0] max vel,38,286.72,116.35995622564177,-53.42584079293171,6.32671265930675
R_Forearm[0] max vel,39,297.06666666666666,117.66178343861688,-50.4356342348993,-1.0740112635521086
R_Forearm[0] max vel,40,303.4,144.63151669310446,-54.00352330832235,0.091572678594872
R_Forearm[0] max vel,41,310.55333333333334,163.18461358036265,-55.56491276642747,-1.5347919051882926
R_Forearm[0] max vel,42,316.91333333333336,127.809139124927,-53.64796804370898,3.571258905593929
R_Forearm[0] max vel,43,322.76666666666665,131.40629248689586,-57.1021434733468,-0.6612073731176409
R_Forearm[0] max vel,44,328.94666666666666,155.26588188175327,-55.56354221461989,0.7219820829891432
R_Forearm[0] max vel,45,335.06,138.33149999912425,-51.32711027245126,-2.569077923712264
R_Forearm[0] max vel,46,341.17333333333335,164.54415029089594,-56.39829567589782,-0.1413855520753415
R_Forearm[0] max vel,47,348.0466666666667,197.23109118666943,-54.22999485959665,2.3757423895662555
R_Forearm[0] max vel,48,354.74,167.59787685081815,-54.82383760318933,3.340323344109592
R_Forearm[0] max vel,49,363.88666666666666,170.73308279829592,-52.30140262669302,0.5560528914314986
R_Forearm[0] max vel,50,369.3666666666667,140.23354227492504,-55.25677545441757,0.4483118324468478
R_Forearm[0] max vel,51,375.50666666666666,122.19251396639318,-58.21804614300655,3.6726892822150106
R_Forearm[0] max vel,52,384.4866666666667,124.67567929445332,-49.2815333638667,3.632860918382271
R_Forearm[0] max vel,53,391.6133333333333,105.32572439480668,-52.809292515671885,3.1455786594814086
R_Forearm[0] max vel,54,398.3,171.80201545174464,-52.2836510510733,-1.865977693603675
R_Forearm[0] max vel,55,405.94,179.29611023732582,-53.218385886192735,-0.8710749896289229
R_Forearm[0] max vel,56,412.5133333333333,154.58399811846868,-58.03040315787192,4.101702525317847
R_Forearm[0] max vel,57,419.5133333333333,164.72940742756688,-54.74195961178875,-0.2780229139257244
R_Forearm[0] max vel,58,428.44666666666666,116.240515742504,-51.39382182034733,1.430187162852313
R_Forearm[0] max vel,59,435.97333333333336,142.88895887028988,-54.71604944148588,-0.3821829275215052
R_Forearm[0] max vel,60,443.7133333333333,129.63251318896172,-53.94431111898361,0.1462690985309294
R_Forearm[0] max vel,61,451.38666666666666,129.80521957295406,-51.549701306484266,0.955747441824336
R_Forearm[0] max vel,62,458.82666666666665,121.74140908992769,-54.193085349090126,-2.217706785035368
R_Forearm[0] max vel,63,465.03333333333336,149.5041303163675,-56.98890341939429,4.388277137184218
R_Forearm[0] max vel,64,470.7133333333333,120.85651596539246,-54.76819584448181,1.3472118994238045
R_Forearm[0] max vel,65,476.5733333333333,133.9168434476281,-58.05269388993434,0.0110775779913296
R_Forearm[0] max vel,66,482.1666666666667,126.58872508840402,-54.03069080862248,1.4392259231236793
R_Forearm[0] max vel,67,489.41333333333336,161.16719320487016,-51.53908629476024,0.1858372622013249
R_Forearm[0] max vel,68,495.92,95.05576886839172,-48.98833435997025,3.1393584298383743
R_Forearm[0] max vel,69,503.3933333333333,176.9550537947639,-51.50178387375659,-0.9303089121059144
R_Forearm[0] max vel,70,510.1333333333333,148.37046186908273,-55.84191920607542,-1.9720005475495557
R_Forearm[0] max vel,71,518.1733333333333,161.07371634814658,-56.3483618745887,-3.211205395937448
R_Forearm[0] max vel,72,524.9666666666667,128.03078884833673,-48.2010410731828,1.2451545958361765
R_Forearm[0] max vel,73,533.3533333333334,138.1847116259238,-55.52948942810779,1.5610070659390942
R_Forearm[0] max vel,74,540.18,176.59095931168085,-60.97407899921559,1.529051924426696
R_Forearm[0] max vel,75,546.6266666666667,172.44925852815132,-57.33742383510795,-3.690067525979785
R_Forearm[0] max vel,76,553.1333333333333,107.52801023863286,-58.21118458680074,-0.8901116118164438
R_Forearm[0] max vel,77,559.14,102.51950526369224,-59.91211681166509,-0.8157057517291832
R_Forearm[0] max vel,78,566.9933333333333,142.14425891227907,-55.68548766643393,-3.0502427785061457
R_Forearm[0] max vel,79,573.96,132.63158152487694,-51.3707980080268,-0.8204278016220385
R_Forearm[0] max vel,80,583.7066666666667,173.36220392277443,-53.14255088782013,0.0279928719419189
R_Forearm[0] max vel,81,590.0333333333333,110.3095875162476,-50.991045865230255,5.224859431168085
R_Forearm[0] max vel,82,596.8533333333334,163.17338661875513,-48.08504705108577,-2.6805547433633947
R_Forearm[0] max vel,83,602.4333333333333,147.99355701418165,-46.442301539889286,-5.387885245634116
R_Forearm[0] max vel,84,609.9133333333333,123.05408022145248,-53.59531582183704,-4.727108786990982
R_Forearm[0] max vel,85,616.7133333333334,99.86457182950598,-47.00975220494341,-6.559634724493364
R_Forearm[0] max vel,86,622.2866666666666,133.96513627935107,-55.55372128312089,7.826418035052114
R_Forearm[0] max vel,87,627.2333333333333,104.3592266167664,-51.72437492455625,0.0400252808037322
R_Forearm[0] max vel,88,632.6666666666666,85.35285964465871,-51.983370881347774,1.713335669890789
R_Forearm[0] max vel,89,638.76,80.75958850796916,-52.50921512460626,5.320548593701702
R_Forearm[0] max vel,90,644.28,105.65111926164006,-46.36062812766435,1.0664005351966637
R_Forearm[0] max vel,91,663.5533333333333,119.94735091465176,-66.4022033765492,-3.355186336906208
R_Forearm[0] max vel,92,669.34,164.0455188917535,-51.24386895123058,-4.852992744935854
R_Forearm[0] max vel,93,675.48,123.63738431678487,-46.581954559198735,0.3781294910649251
R_Forearm[0] max vel,94,680.7466666666667,133.63987789387895,-50.80422013239396,-2.6119678786075724
R_Forearm[0] max vel,95,688.7,142.06061273215155,-51.6247672731792,-1.83338888939948
R_Forearm[0] max vel,96,694.8266666666667,115.03046217596896,-48.15811812679142,-0.5674311453334511
R_Forearm[0] max vel,97,701.2733333333333,144.0246191111771,-50.73841861377565,-0.6262852935243544
R_Forearm[0] max vel,98,708.0066666666667,115.81418520893364,-47.78973497500357,0.7219820829891432
R_Forearm[0] max vel,99,715.8933333333333,141.6151192049749,-53.17616867792222,2.885964252076477
