Angle Name,Trial ID,Time,Value,Euler,angerror
Thorax[0] max vel,11,82.7,47.81566711811492,97.49645103885813,30.445006814838152
Thorax[0] max vel,12,89.45333333333333,-44.19306147653487,96.0242897109291,14.34551695590966
Thorax[0] max vel,13,94.68666666666668,39.8215595471628,98.9230945997597,10.133786776945826
Thorax[0] max vel,14,100.26666666666668,19.326514542842244,94.83513444530472,1.3981926715578226
Thorax[0] max vel,15,106.28666666666666,-24.431164279940973,89.0093320735769,-0.9637565320735176
Thorax[0] max vel,16,111.72666666666667,40.80213417321558,88.07906158398326,1.3643516869853016
Thorax[0] max vel,17,117.52,38.14547774117971,90.53331711279633,2.663335144185993
Thorax[0] max vel,18,123.98666666666666,-22.08754299759682,90.38621631644156,-0.4377772665436552
Thorax[0] max vel,19,129.50666666666666,37.02623089035452,90.12753057847948,1.5919086916798832
Thorax[0] max vel,20,135.6266666666667,35.82098412049158,88.98238958552965,-0.0245655863379425
Thorax[0] max vel,21,145.73333333333332,-59.62547904407728,91.37813284699578,1.7517197468092434
Thorax[0] max vel,22,154.3733333333333,-61.25124692392009,88.86178632269888,1.9649327471993128
Thorax[0] max vel,23,162.84,52.72554900956324,94.26739631974188,1.9534916520349408
Thorax[0] max vel,24,180.08666666666667,51.34549804670006,94.30242684893096,1.3895403340347912
Thorax[0] max vel,25,197.94,45.57694521996546,93.17878001231468,-2.5464823651382678
Thorax[0] max vel,26,206.02666666666667,41.79878427362679,94.81329813793364,-3.0238675557966417
Thorax[0] max vel,27,214.82,-302.1723673180255,10.163464177418778,-4.867212411961852
Thorax[0] max vel,28,221.22,73.77415835700585,61.40263702490038,-4.472213880036442
Thorax[0] max vel,29,226.88,60.22631051557693,63.93214579118592,-4.851309434293789
Thorax[0] max vel,30,233.81333333333333,-47.76992945685181,76.55625673567225,-3.257421534960457
Thorax[0] max vel,31,242.14,57.570753696758935,83.44044983863272,1.142430384070849
Thorax[0] max vel,32,247.06,-57.17754803974053,92.08354440443054,2.547799016494956
Thorax[0] max vel,33,253.17333333333332,22.987655636690175,81.10764195483154,0.0147742653871247
Thorax[0] max vel,34,259.7266666666667,73.6773099006426,82.1118192356519,-2.3504002431442714
Thorax[0] max vel,35,268.12,50.05395529156977,97.7783848116727,-2.4791644320956507
Thorax[0] max vel,36,274.1,20.929384992768544,92.37565846474097,1.988864127018111
Thorax[0] max vel,37,280.20666666666665,44.455300484223095,90.40515581025598,-5.499129392646282
Thorax[0] max vel,38,286.7333333333333,23.26783214103269,88.99595501843098,6.32671265930675
Thorax[0] max vel,39,297.0133333333333,42.11194815093276,90.50471350238384,-1.0740112635521086
Thorax[0] max vel,40,303.3,50.08844010039438,90.2884801269182,0.091572678594872
Thorax[0] max vel,41,309.93333333333334,31.45181651010907,88.80280756004532,-1.5347919051882926
Thorax[0] max vel,42,316.76666666666665,47.98983852011752,87.11918324626903,3.571258905593929
Thorax[0] max vel,43,322.78,38.97716170049009,89.9540813000818,-0.6612073731176409
Thorax[0] max vel,44,328.78,25.57633218405341,88.90905090080315,0.7219820829891432
Thorax[0] max vel,45,335.38666666666666,28.61720222696113,90.54127761904849,-2.569077923712264
Thorax[0] max vel,46,341.00666666666666,42.26775859756415,86.74178125490255,-0.1413855520753415
Thorax[0] max vel,47,347.93333333333334,45.71359548199835,89.46266188401741,2.3757423895662555
Thorax[0] max vel,48,354.93333333333334,48.50550350801494,93.1860017049445,3.340323344109592
Thorax[0] max vel,49,363.5,48.25955600043123,92.90027078841884,0.5560528914314986
Thorax[0] max vel,50,369.32,22.575468030473463,93.2757200648191,0.4483118324468478
Thorax[0] max vel,51,375.76666666666665,33.9585102020894,95.18893890609088,3.6726892822150106
Thorax[0] max vel,52,383.50666666666666,-36.71843264677968,91.8491699977194,3.632860918382271
Thorax[0] max vel,53,391.47333333333336,42.87019403169422,92.24486464593284,3.1455786594814086
Thorax[0] max vel,54,398.2,37.23178264927552,91.33104120065616,-1.865977693603675
Thorax[0] max vel,55,405.79333333333335,25.660544829511288,91.83152064816436,-0.8710749896289229
Thorax[0] max vel,56,412.48,54.20507487596209,93.42697004814092,4.101702525317847
Thorax[0] max vel,57,419.42,44.53177988419894,92.34860790980612,-0.2780229139257244
Thorax[0] max vel,58,427.56666666666666,38.50540046955204,94.17941452825356,1.430187162852313
Thorax[0] max vel,59,435.76666666666665,39.65528815098483,92.01404816923149,-0.3821829275215052
Thorax[0] max vel,60,442.96,38.05754217018312,91.452994597584,0.1462690985309294
Thorax[0] max vel,61,450.9266666666667,39.57217757627473,92.25488764351452,0.955747441824336
Thorax[0] max vel,62,458.5733333333333,39.24781304320484,92.6857210288652,-2.217706785035368
Thorax[0] max vel,63,464.9666666666666,33.47742831699512,92.94533285422624,4.388277137184218
Thorax[0] max vel,64,470.6066666666667,32.092726910929215,93.14247248506186,1.3472118994238045
Thorax[0] max vel,65,476.8066666666667,17.74295064801438,92.83372755154012,0.0110775779913296
Thorax[0] max vel,66,482.06666666666666,29.12478256845816,92.33135033681496,1.4392259231236793
Thorax[0] max vel,67,489.4,86.11845842338336,65.5390419806539,0.1858372622013249
Thorax[0] max vel,68,495.88,51.17247284764168,77.7279081793901,3.1393584298383743
Thorax[0] max vel,69,503.41333333333336,44.00604731611089,86.31749551073675,-0.9303089121059144
Thorax[0] max vel,70,510.0466666666667,37.52149744644849,84.10115033513719,-1.9720005475495557
Thorax[0] max vel,71,517.5,37.98594705212629,80.33231663743332,-3.211205395937448
Thorax[0] max vel,72,525.0066666666667,-36.93898339560019,87.51913803726791,1.2451545958361765
